768B7A2F	cluster13
80610211	cluster13
7587417E	cluster13
7F52F330	cluster13
80D39CC0	cluster13
76C09169	cluster13
7D829060	cluster13
593C1EEB	cluster13
0AB7F34C	cluster13
781F88BA	cluster13
754A0D34	cluster13
5ACA0731	cluster13
7E5DEDEB	cluster13
7F90D4C8	cluster13
5E0D2F31	cluster13
5E904AAD	cluster13
5C398581	cluster13
022D2028	cluster13
79D3F850	cluster13
5CA9BA3E	cluster13
77ED9849	cluster13
7601320E	cluster13
7FB2BFB8	cluster13
80D3104A	cluster13
7679C560	cluster13
7FE56E85	cluster13
814DFB33	cluster13
7E38C06F	cluster13
5D552D4F	cluster13
81044EC5	cluster13
793AEC75	cluster13
7D769D27	cluster13
74BF1282	cluster13
0BA0C61F	cluster13
7E01E34B	cluster13
819156DE	cluster13
75B73590	cluster13
0990FA50	cluster13
114B94FB	cluster13
7660E1CD	cluster13
813D0DEE	cluster13
7F8574E3	cluster13
80D0E303	cluster13
790F8706	cluster13
5A951F2E	cluster13
7D602495	cluster13
78E677ED	cluster13
7BE8237A	cluster13
5A4DC282	cluster13
0515F866	cluster14
81FE2661	cluster15
7A7E43A9	cluster15
800E9741	cluster15
5B9CE58B	cluster15
7FC453AC	cluster15
7E3F03B8	cluster15
80ABD1E0	cluster15
7A7E9BB3	cluster15
80912F90	cluster15
784CF202	cluster15
7F26D0E4	cluster15
7B8F1264	cluster15
7DA44168	cluster15
7661378E	cluster15
7AE9C4BE	cluster15
7D8D60FB	cluster15
85A3AE5D	cluster15
80A1E6CA	cluster15
76376534	cluster15
801454C6	cluster15
06F2FFB8	cluster15
7F2AB32A	cluster15
7BE02B25	cluster15
7F714963	cluster15
80483CEC	cluster15
80C37B02	cluster15
80A4AA13	cluster15
765B9570	cluster15
5CECB503	cluster15
7CF6011B	cluster15
7651E9E1	cluster15
7B644ACD	cluster15
7F86FF3E	cluster15
7E4104A0	cluster15
7D105B3D	cluster15
7A78CB76	cluster15
7E956024	cluster15
79C6414E	cluster15
771ACBAD	cluster15
5F0E6BF9	cluster15
7D225B1E	cluster15
7DCAB466	cluster15
80E26507	cluster15
6C50F85D	cluster15
76E6074F	cluster15
80C12F9E	cluster15
08661F46	cluster15
75B4C40A	cluster15
856297EB	cluster15
77D104B8	cluster15
7F359026	cluster15
7E78C23C	cluster15
7AC11B72	cluster15
5FFDE903	cluster15
8140F954	cluster15
80067E90	cluster15
72D9319F	cluster15
7744DF4D	cluster15
7E8B5834	cluster15
77752186	cluster15
7E04ABD6	cluster15
7EB345B4	cluster15
5FE5A56D	cluster15
811B89EC	cluster15
7DD9BF83	cluster15
7940D21F	cluster15
7ECAF21A	cluster15
7D5E93B5	cluster15
78CC381F	cluster15
7F1C353A	cluster15
7BA9A783	cluster15
783F0C02	cluster15
557AC1E0	cluster15
78AA4FB9	cluster15
5DCA484F	cluster15
5B6C4BD4	cluster15
7B5C3926	cluster15
816FDEBB	cluster15
800AD65B	cluster15
54EFDACE	cluster15
7EDF0F1D	cluster15
75DA7C01	cluster15
703C6B73	cluster15
7D1327BD	cluster15
774CC0BD	cluster15
7CD83CC0	cluster15
7D5DC89D	cluster15
0B52521B	cluster15
58BB7B25	cluster15
14EFAD0D	cluster15
7704E478	cluster15
7DA93CF9	cluster15
84FEAA37	cluster15
75CA3C6F	cluster15
7F82E914	cluster15
76F48CC1	cluster15
80790DAD	cluster15
5E843D0B	cluster16
76393B41	cluster17
7D61349D	cluster18
6AA1EA94	cluster18
08AB1D90	cluster18
8014F390	cluster18
7CF33B47	cluster18
5E79685B	cluster18
7EC62E2A	cluster18
7FDA6E2D	cluster18
7F8D6038	cluster18
7FD16867	cluster18
7ECF23A6	cluster18
7ACD3F30	cluster18
7F619FD5	cluster18
7DE77AC0	cluster18
5C4CEB32	cluster18
7B826F83	cluster18
80954E18	cluster18
7E9305CC	cluster18
58AD71E9	cluster18
683EF5B7	cluster18
029AC478	cluster18
76D220AC	cluster18
0B7B541C	cluster18
7E4E3FA1	cluster18
59E37BC3	cluster18
02F48DA6	cluster18
7E13CDE5	cluster18
60E458BA	cluster18
814264DA	cluster18
7D0CB6EE	cluster18
77F90AE3	cluster18
7ED69E25	cluster18
75A4EA8B	cluster18
77EDFBFA	cluster18
04B09A79	cluster18
7E6A3768	cluster18
754DA791	cluster18
7DE6C805	cluster18
7ED977F2	cluster18
803E976E	cluster18
0582263D	cluster18
7D29A695	cluster18
7EEF4B4F	cluster18
7B60D94B	cluster18
80449A57	cluster18
7DD1A4E1	cluster18
8162EA28	cluster18
76DDBC3C	cluster18
7632BADA	cluster19
5DC6332F	cluster19
80D95EA0	cluster19
5DB3ADE0	cluster19
5A44662A	cluster19
777FCB89	cluster19
8241BDB9	cluster19
09B8A11C	cluster19
5D9235DA	cluster19
76D3C637	cluster19
7DA4F3F8	cluster19
7DFFA891	cluster19
754DBB0D	cluster19
75F8DC5C	cluster19
0311A230	cluster19
6CD3AB8A	cluster19
6AA2DC66	cluster19
7B2344CE	cluster19
6A385D56	cluster19
76349A49	cluster19
7DF9767C	cluster19
7F3E8648	cluster19
840B082B	cluster19
02664C32	cluster19
7767B6A7	cluster19
1755D522	cluster19
7C9FD7E7	cluster19
5E25A592	cluster19
5B295C5F	cluster19
80431317	cluster19
5F2E2D0C	cluster19
7D03B4C4	cluster19
7C22B5A7	cluster19
7EB77248	cluster19
7781C078	cluster19
7159286C	cluster19
774E123E	cluster19
7FEE7CFB	cluster19
08F3AB67	cluster19
7D487737	cluster19
805FC642	cluster19
5C061E57	cluster19
6725A2DA	cluster19
7DA95F47	cluster20
71BD61BC	cluster20
7DF2FFBA	cluster21
7B1AD38D	cluster21
7BD1A72A	cluster21
790AA37C	cluster21
77A2E834	cluster21
7B8827E7	cluster21
